Applicant_ID,Applicant_Gender,Owned_Car,Owned_Realty,Total_Children,Total_Income,Income_Type,Education_Type,Family_Status,Housing_Type,Owned_Mobile_Phone,Owned_Work_Phone,Owned_Phone,Owned_Email,Job_Title,Total_Family_Members,Applicant_Age,Years_of_Working,Total_Bad_Debt,Total_Good_Debt,Status
5041389,F      ,1,1,0,135000,Working                                           ,Secondary / secondary special                     ,Married                                           ,With parents                                      ,1,0,0,0,Core staff                                        ,2,42,18,0,5,1
5041390,F      ,1,1,0,135000,Working                                           ,Secondary / secondary special                     ,Married                                           ,With parents                                      ,1,0,0,0,Core staff                                        ,2,42,18,0,13,1
5041392,F      ,1,1,0,135000,Working                                           ,Secondary / secondary special                     ,Married                                           ,With parents                                      ,1,0,0,0,Core staff                                        ,2,42,18,0,36,1
5041394,F      ,1,1,0,135000,Working                                           ,Secondary / secondary special                     ,Married                                           ,With parents                                      ,1,0,0,0,Core staff                                        ,2,42,18,0,35,1
5041395,F      ,1,1,1,99000,State servant                                     ,Secondary / secondary special                     ,Married                                           ,With parents                                      ,1,1,1,0,Medicine staff                                    ,3,38,17,0,42,1
5041396,F      ,0,1,0,225000,Commercial associate                              ,Incomplete higher                                 ,Civil marriage                                    ,House / apartment                                 ,1,0,1,0,Sales staff                                       ,2,24,1,0,13,1
5041397,F      ,0,1,0,225000,Commercial associate                              ,Incomplete higher                                 ,Civil marriage                                    ,House / apartment                                 ,1,0,1,0,Sales staff                                       ,2,24,1,0,8,1
5041398,F      ,0,1,0,225000,Commercial associate                              ,Incomplete higher                                 ,Civil marriage                                    ,House / apartment                                 ,1,0,1,0,Sales staff                                       ,2,24,1,0,8,1
5041399,F      ,0,1,0,225000,Commercial associate                              ,Incomplete higher                                 ,Civil marriage                                    ,House / apartment                                 ,1,0,1,0,Sales staff                                       ,2,24,1,0,4,1
5041400,F      ,0,1,0,225000,Commercial associate                              ,Incomplete higher                                 ,Civil marriage                                    ,House / apartment                                 ,1,0,1,0,Sales staff                                       ,2,24,1,0,3,1
5041401,F      ,0,1,0,225000,Commercial associate                              ,Incomplete higher                                 ,Civil marriage                                    ,House / apartment                                 ,1,0,1,0,Sales staff                                       ,2,24,1,0,2,1
5041415,F      ,1,0,0,157500,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,High skill tech staff                             ,2,36,6,2,58,1
5041416,F      ,1,0,0,157500,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,High skill tech staff                             ,2,36,6,0,41,1
5041417,F      ,1,0,0,157500,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,High skill tech staff                             ,2,36,6,0,45,1
5041418,F      ,1,0,0,157500,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,High skill tech staff                             ,2,36,6,0,61,1
5041419,F      ,1,0,0,157500,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,High skill tech staff                             ,2,36,6,0,52,1
5041444,M      ,1,1,0,337500,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,56,8,0,31,1
5041446,M      ,1,1,0,337500,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,56,8,0,21,1
5041449,M      ,1,1,0,337500,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,56,8,0,27,1
5041455,F      ,1,0,0,180000,Commercial associate                              ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,43,19,0,27,1
5041456,F      ,1,0,0,180000,Commercial associate                              ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,43,19,0,41,1
5041457,F      ,1,0,0,180000,Commercial associate                              ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,43,19,0,40,1
5041458,F      ,1,0,0,180000,Commercial associate                              ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,43,19,0,4,1
5041459,F      ,1,0,0,180000,Commercial associate                              ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,43,19,0,27,1
5041460,F      ,1,0,0,180000,Commercial associate                              ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,43,19,0,21,1
5041461,F      ,1,0,0,180000,Commercial associate                              ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,43,19,0,22,1
5041463,F      ,1,0,0,180000,Commercial associate                              ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,43,19,0,32,1
5041464,F      ,1,0,0,180000,Commercial associate                              ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,43,19,0,28,1
5041465,F      ,1,0,0,180000,Commercial associate                              ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,43,19,0,41,1
5041466,F      ,1,0,0,180000,Commercial associate                              ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,43,19,0,32,1
5041467,F      ,1,0,0,180000,Commercial associate                              ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,43,19,0,3,1
5041468,F      ,1,0,0,180000,Commercial associate                              ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,43,19,0,4,1
5041469,F      ,1,0,0,180000,Commercial associate                              ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,43,19,0,10,1
5041470,F      ,0,0,2,135000,State servant                                     ,Incomplete higher                                 ,Married                                           ,With parents                                      ,1,1,1,0,Core staff                                        ,4,32,7,0,37,1
5041471,F      ,0,0,2,135000,State servant                                     ,Incomplete higher                                 ,Married                                           ,With parents                                      ,1,1,1,0,Core staff                                        ,4,32,7,0,10,1
5041472,F      ,0,0,2,135000,State servant                                     ,Incomplete higher                                 ,Married                                           ,With parents                                      ,1,1,1,0,Core staff                                        ,4,32,7,0,10,1
5041473,F      ,0,0,2,135000,State servant                                     ,Incomplete higher                                 ,Married                                           ,With parents                                      ,1,1,1,0,Core staff                                        ,4,32,7,0,9,1
5041474,F      ,0,1,0,90000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,1,Sales staff                                       ,2,25,3,0,3,1
5041492,M      ,1,1,0,90000,Working                                           ,Secondary / secondary special                     ,Civil marriage                                    ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,36,1,0,29,1
5041493,M      ,1,1,0,90000,Working                                           ,Secondary / secondary special                     ,Civil marriage                                    ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,36,1,7,21,1
5041494,M      ,1,1,0,90000,Working                                           ,Secondary / secondary special                     ,Civil marriage                                    ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,36,1,0,22,1
5041495,M      ,1,1,0,90000,Working                                           ,Secondary / secondary special                     ,Civil marriage                                    ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,36,1,1,3,1
5041496,M      ,1,1,0,90000,Working                                           ,Secondary / secondary special                     ,Civil marriage                                    ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,36,1,7,5,0
5041498,M      ,1,1,0,90000,Working                                           ,Secondary / secondary special                     ,Civil marriage                                    ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,36,1,7,50,1
5041499,M      ,1,1,0,90000,Working                                           ,Secondary / secondary special                     ,Civil marriage                                    ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,36,1,0,18,1
5041500,M      ,1,1,0,90000,Working                                           ,Secondary / secondary special                     ,Civil marriage                                    ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,36,1,0,8,1
5041506,M      ,0,1,1,292500,Working                                           ,Higher education                                  ,Married                                           ,Co-op apartment                                   ,1,0,0,0,Managers                                          ,3,36,8,0,17,1
5041508,M      ,0,1,1,292500,Working                                           ,Higher education                                  ,Married                                           ,Co-op apartment                                   ,1,0,0,0,Managers                                          ,3,36,8,0,47,1
5041509,M      ,0,1,1,292500,Working                                           ,Higher education                                  ,Married                                           ,Co-op apartment                                   ,1,0,0,0,Managers                                          ,3,36,8,0,47,1
5041510,M      ,0,1,1,292500,Working                                           ,Higher education                                  ,Married                                           ,Co-op apartment                                   ,1,0,0,0,Managers                                          ,3,36,8,0,47,1
5041511,M      ,0,1,1,292500,Working                                           ,Higher education                                  ,Married                                           ,Co-op apartment                                   ,1,0,0,0,Managers                                          ,3,36,8,0,45,1
5041524,F      ,1,1,0,135000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,1,0,Accountants                                       ,2,37,8,0,26,1
5041525,F      ,1,1,0,135000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,1,0,Accountants                                       ,2,37,8,0,36,1
5041526,F      ,1,1,0,135000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,1,0,Accountants                                       ,2,37,8,0,40,1
5041527,F      ,1,1,0,135000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,1,0,Accountants                                       ,2,37,8,0,36,1
5041528,F      ,1,1,0,135000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,1,0,Accountants                                       ,2,37,8,0,40,1
5041531,F      ,1,1,0,135000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,1,0,Accountants                                       ,2,37,8,0,40,1
5041532,F      ,1,1,0,135000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,1,0,Accountants                                       ,2,37,8,0,35,1
5041533,F      ,1,1,0,135000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,1,0,Accountants                                       ,2,37,8,0,30,1
5041534,F      ,1,1,0,135000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,1,0,Accountants                                       ,2,37,8,0,15,1
5041535,F      ,0,1,0,180000,Commercial associate                              ,Secondary / secondary special                     ,Widow                                             ,House / apartment                                 ,1,0,1,0,Laborers                                          ,1,55,5,0,36,1
5041541,F      ,0,0,0,90000,Commercial associate                              ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Sales staff                                       ,1,30,3,3,20,1
5041542,F      ,0,0,0,90000,Commercial associate                              ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Sales staff                                       ,1,30,3,0,26,1
5041543,F      ,0,0,0,90000,Commercial associate                              ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Sales staff                                       ,1,30,3,0,12,1
5041544,M      ,1,1,0,180000,State servant                                     ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Drivers                                           ,2,27,8,0,21,1
5041545,M      ,1,1,0,180000,State servant                                     ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Drivers                                           ,2,27,8,0,31,1
5041546,M      ,1,1,0,180000,State servant                                     ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Drivers                                           ,2,27,8,0,35,1
5041547,M      ,1,1,0,180000,State servant                                     ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Drivers                                           ,2,27,8,0,21,1
5041548,F      ,1,1,0,247500,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,0,0,Accountants                                       ,2,33,7,0,13,1
5041549,F      ,1,1,0,247500,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,0,0,Accountants                                       ,2,33,7,0,12,1
5041550,F      ,1,1,0,247500,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,0,0,Accountants                                       ,2,33,7,0,27,1
5041570,M      ,1,1,1,202500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Laborers                                          ,3,53,2,0,41,1
5041571,M      ,1,1,1,202500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Laborers                                          ,3,53,2,0,41,1
5041572,M      ,1,1,1,202500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Laborers                                          ,3,53,2,0,41,1
5041573,M      ,1,1,1,202500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Laborers                                          ,3,53,2,0,31,1
5041574,M      ,1,1,1,202500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Laborers                                          ,3,53,2,0,20,1
5041581,F      ,0,1,1,270000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Managers                                          ,3,53,4,2,38,1
5041582,F      ,0,1,1,270000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Managers                                          ,3,53,4,0,58,1
5041583,F      ,0,1,1,270000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Managers                                          ,3,53,4,2,46,1
5041602,F      ,0,1,0,67500,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,1,0,Sales staff                                       ,2,32,9,0,38,1
5041603,M      ,1,1,0,270000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,34,5,0,44,1
5041604,M      ,1,1,0,270000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,34,5,0,44,1
5041605,M      ,1,1,0,270000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,34,5,0,54,1
5041606,M      ,1,1,0,270000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,34,5,0,44,1
5041607,M      ,1,1,0,270000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,34,5,0,24,1
5041608,M      ,1,1,0,270000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,34,5,0,35,1
5041609,M      ,1,1,0,270000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,34,5,0,44,1
5041610,M      ,1,1,0,270000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,34,5,5,39,1
5041611,M      ,1,1,0,270000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,34,5,0,36,1
5041616,F      ,1,1,1,180000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Core staff                                        ,3,43,8,0,4,1
5041617,F      ,1,1,1,180000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Core staff                                        ,3,43,8,0,12,1
5041618,F      ,1,1,1,180000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Core staff                                        ,3,43,8,0,3,1
5041620,M      ,0,1,0,292500,Commercial associate                              ,Higher education                                  ,Single / not married                              ,Rented apartment                                  ,1,0,1,0,Sales staff                                       ,1,28,4,0,29,1
5041621,M      ,0,1,0,292500,Commercial associate                              ,Higher education                                  ,Single / not married                              ,Rented apartment                                  ,1,0,1,0,Sales staff                                       ,1,28,4,0,9,1
5041622,M      ,0,1,0,292500,Commercial associate                              ,Higher education                                  ,Single / not married                              ,Rented apartment                                  ,1,0,1,0,Sales staff                                       ,1,28,4,0,31,1
5041623,M      ,0,1,0,292500,Commercial associate                              ,Higher education                                  ,Single / not married                              ,Rented apartment                                  ,1,0,1,0,Sales staff                                       ,1,28,4,0,17,1
5041624,M      ,0,1,0,292500,Commercial associate                              ,Higher education                                  ,Single / not married                              ,Rented apartment                                  ,1,0,1,0,Sales staff                                       ,1,28,4,0,30,1
5041625,M      ,0,1,0,292500,Commercial associate                              ,Higher education                                  ,Single / not married                              ,Rented apartment                                  ,1,0,1,0,Sales staff                                       ,1,28,4,0,28,1
5041626,M      ,0,1,0,292500,Commercial associate                              ,Higher education                                  ,Single / not married                              ,Rented apartment                                  ,1,0,1,0,Sales staff                                       ,1,28,4,0,29,1
5041627,M      ,0,1,0,292500,Commercial associate                              ,Higher education                                  ,Single / not married                              ,Rented apartment                                  ,1,0,1,0,Sales staff                                       ,1,28,4,0,8,1
5041628,M      ,1,1,0,234000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,43,9,0,29,1
5041629,M      ,1,1,0,234000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,43,9,0,52,1
5041630,M      ,1,1,0,234000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,43,9,0,29,1
5041632,M      ,1,1,0,234000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,43,9,0,40,1
5041633,M      ,1,1,0,234000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,43,9,0,38,1
5041634,M      ,1,1,0,234000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,43,9,0,11,1
5041635,M      ,1,1,0,234000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,43,9,0,7,1
5041641,F      ,1,1,1,270000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Sales staff                                       ,3,39,5,0,14,1
5041642,F      ,1,1,1,270000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Sales staff                                       ,3,39,5,0,19,1
5041643,F      ,1,1,1,270000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Sales staff                                       ,3,39,5,0,17,1
5041644,F      ,1,1,1,270000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Sales staff                                       ,3,39,5,0,6,1
5041645,F      ,1,1,1,270000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Sales staff                                       ,3,39,5,0,9,1
5041646,F      ,1,1,1,270000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Sales staff                                       ,3,39,5,0,14,1
5041647,F      ,1,1,1,270000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Sales staff                                       ,3,39,5,0,19,1
5041648,F      ,1,1,1,270000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Sales staff                                       ,3,39,5,0,18,1
5041649,F      ,1,1,1,270000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Sales staff                                       ,3,39,5,0,10,1
5041650,F      ,1,1,1,270000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Sales staff                                       ,3,39,5,0,9,1
5041653,F      ,1,1,2,135000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Sales staff                                       ,4,33,8,0,37,1
5041654,F      ,0,1,0,99000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Laborers                                          ,2,55,1,0,14,1
5041655,F      ,0,1,0,99000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Laborers                                          ,2,55,1,0,33,1
5041661,F      ,1,1,1,333000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,32,5,0,6,1
5041662,F      ,1,1,1,333000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,32,5,1,53,1
5041663,F      ,1,1,1,333000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,32,5,0,13,1
5041664,F      ,1,1,1,333000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,32,5,0,22,1
5041665,F      ,1,1,1,333000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,32,5,0,47,1
5041666,F      ,1,1,1,333000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,32,5,0,40,1
5041668,F      ,1,1,1,333000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,32,5,0,6,1
5041669,F      ,1,1,1,333000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,32,5,0,6,1
5041670,F      ,1,1,1,333000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,32,5,0,6,1
5041672,F      ,1,1,1,333000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,32,5,0,22,1
5041674,F      ,1,1,1,333000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,32,5,2,37,1
5041675,F      ,1,1,1,333000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,32,5,0,30,1
5041676,F      ,1,1,1,333000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,32,5,0,30,1
5041677,F      ,1,1,1,333000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,32,5,0,6,1
5041678,F      ,1,1,1,333000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,32,5,0,6,1
5041689,F      ,0,1,0,315000,Working                                           ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Accountants                                       ,1,29,3,0,9,1
5041690,F      ,0,1,0,315000,Working                                           ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Accountants                                       ,1,29,3,0,6,1
5041691,F      ,0,1,1,135000,Working                                           ,Incomplete higher                                 ,Married                                           ,House / apartment                                 ,1,0,0,0,Core staff                                        ,3,39,5,0,11,1
5041692,F      ,0,1,1,135000,Working                                           ,Incomplete higher                                 ,Married                                           ,House / apartment                                 ,1,0,0,0,Core staff                                        ,3,39,5,0,9,1
5041693,F      ,0,1,1,135000,Working                                           ,Incomplete higher                                 ,Married                                           ,House / apartment                                 ,1,0,0,0,Core staff                                        ,3,39,5,0,10,1
5041695,F      ,1,0,0,342000,State servant                                     ,Higher education                                  ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,34,11,0,22,1
5041697,F      ,1,0,0,342000,State servant                                     ,Higher education                                  ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,34,11,0,31,1
5041699,F      ,1,0,0,342000,State servant                                     ,Higher education                                  ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,34,11,0,21,1
5041702,F      ,1,0,0,342000,State servant                                     ,Higher education                                  ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,34,11,0,22,1
5041703,F      ,1,0,0,342000,State servant                                     ,Higher education                                  ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,34,11,0,26,1
5041704,F      ,1,0,0,342000,State servant                                     ,Higher education                                  ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,34,11,0,7,1
5041708,M      ,1,1,3,180000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,High skill tech staff                             ,5,39,3,0,24,1
5041709,M      ,1,1,3,180000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,High skill tech staff                             ,5,39,3,0,24,1
